key,kr,en,jp,zh-sc-gl,zh-sc-zai,th,id,ru,it,pt,es,vi,zh-hant,fr,tr
Kiehls_Tutorial_Guide_Title_001,키엘 그린 라이프 가든,Kiehl's Green Life Garden,キールズサマー,科颜氏绿色生活花园,科颜氏绿色生活花园,Kiehl's กรีนไลฟ์การ์เด้น,Taman Kehidupan Hijau Kiehl's,Магазин «Жизнь в зеленом цвете»,Giardino Vita Verde di Kiehl's,Jardim Vida Verde da Kiehl's,Jardín Vida verde Kiehl's,Khu Vườn Cuộc Sống Xanh của Kiehl,契爾氏綠色生活花園,Kiehl's Green Life Garden,Kiehl's Yeşil Yaşam Bahçesi
Kiehls_Tutorial_Guide_Desc_001_1,초록빛 여름으로 물든 포시즌 가든과 키엘의 만남!,Join us in our journey with Kiehl's recycle campaign in brand-new Four Seasons Garden!,グリーンを取り入れた夏！春夏秋冬ガーデンとキールズのコラボ！,四季花园和科颜氏的绿色夏日联盟！,四季花园和科颜氏的绿色夏日联盟！,การพบกันของ Kiehl's และสวนโฟร์ซีซั่น Green Summer!,Pertemuan hijau musim panas Taman Empat Musim dan Kiehl's,Союз Сада «Четыре сезона» и Kiehl's окрашен в зеленые краски лета,Scopri la collaborazione estiva green tra il Bar Quattro Stagioni e Kiehl's,Parceria da Kiehl com o Jardim Quatro Estações no verde do verão,Unión estival verde entre el Jardín Cuatro Estaciones y Kiehl's,Cuộc gặp gỡ của Kiehl và mùa hè tươi xanh trong Khu Vườn Bốn Mùa!,四季花園和契爾氏的綠色夏日合作！,La rencontre du jardin Four seasons et de Kiehl's colorée en vert été !,Four Seasons Garden ve Kiehl's'ın yeşil yaz birlikteliği
Kiehls_Tutorial_Guide_Desc_001_2,싱그러운 자연 속에 새롭게 오픈한 키엘 팝업과 루프탑 카페를 방문해 보세요.,Visit Kiehl’s Green Life pop-up and cafe inside the garden.,爽やかな自然に包まれたキールズショップとカフェを訪問してみよう〜,前往清新自然的科颜氏门店和咖啡店吧,前往清新自然的科颜氏门店和咖啡店吧,เยี่ยมชมคาเฟ่และช็อป Kiehl's ท่ามกลางธรรมชาติสดชื่น,Kunjungi toko dan kafe Kiehl's di alam yang rimbun.,"Посетите магазин и кафе Kiehl's, расположенные в уголке нетронутой природы.",Visita il negozio Kiehl’s nel bar e perditi tra le meraviglie della natura.,Visite a loja e o café da Kiehl na mais pura natureza.,Visita la tienda Kiehl's y la cafetería en un entorno natural.,Thăm cửa hàng của Kiehl và tiệm cà phê trong thiên nhiên tươi xanh.,參觀清新自然裡的契爾氏門市和咖啡廳吧！,Visitez le magasin et le café Kiehl's dans une nature fraîche.,Yemyeşil bir doğa içinde Kiehl's mağazasını ve kafesini ziyaret et.
Kiehls_Tutorial_Guide_Title_002,키엘 그린 팝업,Kieh’s Green Pop-up,キールズショップとカフェ,科颜氏绿色快闪店,科颜氏绿色快闪店,ป๊อปอัปสโตร์ Kieh’s กรีน,Pop-up Hijau Kiehl's,Временный магазин Kiehl's экологически чистых товаров,Negozio sostenibile di Kiehl's,Lojinha Verde da Kiehl's,Tienda efímera Kiehl's,Cửa Hàng Pop-up của Kiehl,契爾氏綠色快閃店,Kiehl's Green Pop-up,Kiehl’s Yeşil Gezici Mağazası
Kiehls_Tutorial_Guide_Desc_002_1,환경을 생각한 키엘의 다양한 제품들도 체험해보세요.,Experience wide selections of Kiehl's eco-friendly products at Kiehl's pop-up.,キールズ製品：キールズショップで様々なキールズ製品を体験してみてね！,体验为环境着想的科颜氏的多种产品吧,体验为环境着想的科颜氏的多种产品吧,ทดลองใช้หลากหลายสินค้าของ Kiehl's ที่คำนึงถึงสิ่งแวดล้อม,Nikmati ragam pilihan produk Kiehl's ramah lingkungan di toko pop-up Kiehl's.,Ознакомьтесь с широким ассортиментом экологически чистых продуктов во временном магазине Kiehl's.,Scopri una vasta selezione di prodotti sostenibili Kiehl's presso il negozio del brand.,Experimente uma ampla variedade de produtos ecológicos na lojinha da Kiehl's.,Prueba una gran selección de productos sostenibles Kiehls's en la tienda efímera Kiehl's.,Trải nghiệm sản phẩm thân thiện với môi trường của Kiehl tại cửa hàng pop-up của Kiehl.,體驗友善環境的契爾氏多樣產品吧！,Découvrez les différents produits Kiehl's respectueux de l'environnement.,Kiehl's gezici mağazasında çevre dostu ürünlerden oluşan geniş bir ürün yelpazesini deneyimle.
Kiehls_Tutorial_Guide_Desc_002_2,공병 수거함 : 키엘 공병은 키엘이 수거한다! <br>칼렌듈라 꽃밭에서 공병을 주워 키엘 팝업 내 공병 수거함에 반납해 주세요.,Pick up the empty bottles from the calendula flower garden and recycle them into the recycle box.,空ボトル回収箱：キールズの空ボトルはキールズが回収〜！カレンデュラのお花畑で空ボトルを拾って、<br>キールズショップ内の空ボトル回収箱に返却してね。,空瓶回收箱：科颜氏的空瓶由科颜氏回收！<br>在金盏花花园中捡起空瓶，送到空瓶回收箱吧,空瓶回收箱：科颜氏的空瓶由科颜氏回收！<br>在金盏花花园中捡起空瓶，送到空瓶回收箱吧,สวนคาเลนดูล่าจิ๋ว : ปลูกดอกคาเลนดูล่า <br>ไอเทมซิกเนเจอร์ของ Kiehl's ในขวดเปล่าดูสิ,Kotak pengumpulan botol kosong: Kiehl's akan mengumpulkan botol kosong mereka!! <br>Ambil botol kosong dari taman bunga calendula dan kembalikan ke kotak pengumpulan botol kosong di toko Kiehl's.,Бокс для приема пустых баночек: Kiehl's принимает пустые баночки из-под своей продукции! <br>Собирайте пустые баночки в ромашковом саду и возвращайте их в бокс для приема пустых баночек в магазине Kiehl's.,Contenitore per la raccolta dei flaconi vuoti: Kiehl's raccoglierà e si prenderà cura di tutti i flaconi vuoti! <br>Preleva i flaconi vuoti dal giardino dei fiori di calendula per depositarli nell’apposito contenitore di raccolta del negozio Kiehl’s.,Caixa de coleta de frascos vazios: a Kiehl está coletando frascos vazios! <br>Pegue frascos vazios no jardim de calêndulas e leve-os para a caixa de coleta na loja da Kiehl.,Caja de recolección de frascos vacíos: ¡Kiehl recolectará sus frascos vacíos! <br>Recoge frascos vacíos del jardín caléndula y llévalos a la caja de recolección de frascos vacíos de la tienda Kiehl's.,Hộp thu gom chai rỗng: Kiehl sẽ thu gom chai rỗng của họ! <br>Nhặt chai rỗng từ vườn hoa cúc và trả chúng tại thùng thu thập chai rỗng trong cửa hàng Kiehl.,空瓶回收桶：契爾氏空瓶就交給契爾氏回收！<br>在金盞花花圃裡撿起空瓶並放入契爾氏門市裡的空瓶回收桶,Boîte de collecte de bouteilles vides : Kiehl's récupère ses bouteilles vides ! <br>Récupérez les bouteilles vides dans le parterre de fleurs de calendula et remettez-les dans la boîte de collecte de bouteilles vides dans le magasin Kiehl's.,"Boş şişe toplama kutusu: Kiehl's, kendi boş şişelerini toplayacak! <br>Kadife çiçeği bahçesinden boş şişeleri al ve Kiehl's mağazasındaki boş şişe toplama kutusuna geri koy."
Kiehls_Tutorial_Guide_Desc_002_3,"키엘의 시그니쳐 아이템, 칼렌듈라 꽃을 공병에 플랜팅 해보세요.",Pick up the empty bottle and recycle in the mini-garden. <br>You can plant the calendula flowers with the empty bottle.  ,カレンデュラミニ花壇 : キールズの大人気アイテム、カレンデュラのお花を空ボトルに入れて育ててみよう！,金盏花迷你花坛：在空瓶里种植科颜氏的代表商品金盏花吧,金盏花迷你花坛：在空瓶里种植科颜氏的代表商品金盏花吧,จุดเก็บขวดเปล่า : Kiehl's จะเก็บขวดเปล่าของ Kiehl's ให้เอง! เก็บขวดเปล่าที่สวนดอกคาเลนดูล่าแล้วนำมาคืนที่จุดเก็บขวดเปล่าในร้านค้า Kiehl's,"Bunga Mini Calendula: Tanam item khas Kiehl's, bunga Calendula di dalam botol kosong.","Мини-ромашка: посадите фирменный предмет Kiel's, ромашку, в пустую баночку.","Fiore di calendula: pianta un seme di calendula, ovvero il fiore più noto del marchio Kiehl’s, in un flacone vuoto.","Miniflor de Calêndula: plante o item exclusivo da Kiehl, a flor de calêndula, em um frasco vazio.","Miniflor caléndula: planta el artículo insignia de Kiehl's, la flor caléndula, en un frasco vacío.","Vườn Hoa Cúc Nhỏ: Trồng hoa cúc, vật phẩm đặc trưng của Kiel trong chai rỗng.",金盞花迷你花圃：將契爾氏的招牌原料金盞花種在空瓶裡吧！,"Petite plate-bande de calendula : Plantez la fleur de calendula, le produit-vedette de Kiehl's, dans une bouteille vide.",Küçük Kadife Çiçeği: Kiehl's'ın imzası olan kadife çiçeğini boş bir şişeye koy.
Kiehls_Tutorial_Guide_Desc_002_4,루프탑 카페: 루프탑 카페에서 여름을 만끽해봐요. <br>일회용 컵 대신 텀블러로 아이스 아메리카노를 즐겨주세요.,Enjoy iced coffee at the Kiehl’s rooftop cafe. <br>Coffee is provided in eco-friendly tumbler instead of disposable cups.,クレム・ドゥ・コールカフェ：キールズクレム・ドゥ・コールカフェで夏を満喫しよう！<br>使い捨てカップの代わりにタンブラーでアイスコーヒーを堪能〜,Future Made Better咖啡店：在科颜氏Future Made Better咖啡店享受夏天吧。<br>用保温杯代替一次性杯子，享受冰美式吧,Future Made Better咖啡店：在科颜氏Future Made Better咖啡店享受夏天吧。<br>用保温杯代替一次性杯子，享受冰美式吧,คาเฟ่ Future Made Better : สนุกไปกับฤดูร้อนที่คาเฟ่ Kiehl's Future Made Better <br>และเพลิดเพลินไปกับอเมริกาโน่เย็นในแก้วทัมเบลอร์แทนแก้วแบบใช้แล้วทิ้ง,Kafe Future Made Better: Rasakan musim panas sepenuhnya di Kafe Future Made Better Kiehl's. <br>Nikmati Americano dingin bukan dengan cangkir sekali pakai tapi dengan tumbler.,"Кафе Future Made Better: насладитесь летним настроением по полной в кафе Future Made Better. <br>Пейте американо со льдом из тамблера (термокружки), а не из одноразового стаканчика.",Bar Future Made Better: goditi l'estate al massimo trascorrendo le tue giornate al bar Future Made Better di Kiehl’s. <br>Gusta il caffè in stile americano ghiacciato in un bicchiere di vetro invece di utilizzare una tazza usa e getta.,"Café Future Made Better: Aproveite o verão ao máximo no Café Future Made Better. <br>Desfrute de um americano gelado em um copo americano, em vez de usar um descartável.","Cafetería Future Made Better: disfruta plenamente del verano en la cafetería Future Made Better de Kiehl's. <br>Tómate un americano helado en vaso, en vez de en una recipiente de plástico.",Future Made Better Cafe: Thỏa sức tận hưởng mùa hè tại Future Made Better Cafe của Kiehl. <br>Thưởng thức một cốc Americano đá trong bình nước thay vì cốc giấy.,Future Made Better 咖啡廳：在契爾氏Future Made Better咖啡廳裡享受夏日時光，<br>用隨身杯代替一次性杯子來暢飲冰美式咖啡！,Café Future Made Better : Profitez pleinement de l'été au café Future Made Better de Kiehl's.  <br>Dégustez un americano glacé avec un gobelet au lieu d'une tasse jetable.,"Daha İyi Bir Gelecek İçin Kafe: Kiehl's'ın, Daha İyi Bir Gelecek İçin Kafesinde yazın keyfini doyasıya çıkar. <br>Tek kullanımlık bardak yerine termos bardakla buzlu Americano'nun tadını çıkar."
Kiehls_Tutorial_Guide_Title_003,키엘 메리고라운드,Kiehl's Carousel,キールズメリーゴーランド,科颜氏旋转木马,科颜氏旋转木马,ม้าหมุน Kiehl's,Korsel Kiehl's,Карусель Kiehl's,Giostra Kiehl’s,Carrossel da Kiehl,Carrusel Kiehl's,Đu Quay của Kiehl,契爾氏旋轉木馬,Manège de Kiehl's,Kiehl's Atlıkarıncası
Kiehls_Tutorial_Guide_Desc_003_1,"메리고라운드를 움직이려면, 먼저 칼렌듈라 꽃밭에서 키엘 공병을 획득해야해요.",Pick up the Kiehl’s empty bottle from the calendula flower garden to activate the carousel.,メリーゴーランドを動かすには、まずカレンデュラのお花畑でキールズの空ボトルを獲得する必要があるよ！,想让旋转木马动起来，需要到金盏花花园获得科颜氏空瓶,想让旋转木马动起来，需要到金盏花花园获得科颜氏空瓶,หากต้องการให้ม้าหมุนเคลื่อน ต้องเก็บขวดเปล่า Kiehl's ในสวนดอกคาเลนดูล่าก่อน,"Untuk mengaktifkan korsel, Anda harus mendapatkan botol kosong Kiehl's dari taman bunga calendula terlebih dahulu.","Чтобы запустить карусель, сначала нужно раздобыть пустую баночку Kiehl's в ромашковом саду.","Per accedere alla giostra, dovrai prima acquistare un flacone vuoto Kiehl’s nel giardino dei fiori di calendula.","Para ativar o carrossel, é preciso adquirir o frasco vazio da Kiehl no jardim de calêndulas.","Para activar el carrusel, primero tienes que conseguir un frasco vacío de Kiehl's en el jardín caléndula.","Để khởi động đu quay, trước tiên bạn phải tìm được chai rỗng của Kiehl trong vườn hoa cúc.",想讓旋轉木馬動起來，就得先到金盞花花圃取得契爾氏空瓶,"Pour mettre le manège en marche, vous devez d'abord obtenir une bouteille vide de Kiehl's dans le parterre de fleurs de calendula.",Atlıkarıncayı etkinleştirmek için önce kadife çiçeği bahçesinden boş bir Kiehl's şişesi edinmelisin.
